Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	binned	0.76	0.24	2.14	0.58428	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.61	0.34	1.07	0.07073	NS
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.93	0.53	1.59	0.78312	NS
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.49	1.04	2.13	0.023366	*
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.39	1.5	0.43706	NS
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.14	0.66	1.92	0.61786	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.04	0.71	1.51	0.81304	NS
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.56	0.35	0.88	0.0086824	*
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.68	1.36	0.82436	NS
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.86	1.06	3.25	0.018221	*
B	HLA-Bw683-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.81	0.22	2.56	0.70147	NS
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.09	0.51	2.25	0.79333	NS
B	binned	1.55	0.65	3.66	0.26526	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.49	1.35	0.41717	NS
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-0	0.64	0.41	1	0.04291	*
DRB1	HLA-DRB1w13-0-0-0-0-0-0-0-0-0-0-0-0	1.35	0.38	4.47	0.57977	NS
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.46	1.94	0.9133	NS
DRB1	HLA-DRB1w17-0-0-0-0-0-0-0-0-0-0-0-0	1.46	0.87	2.45	0.12575	NS
DRB1	HLA-DRB1w19-0-0-0-0-0-0-0-0-0-0-0-0	1.55	0.88	2.72	0.10072	NS
DRB1	HLA-DRB1w2-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.32	2.63	0.93923	NS
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-0	1.16	0.49	2.67	0.69736	NS
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-0	0.89	0.45	1.7	0.71415	NS
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-0	1.6	1.2	2.14	0.00093625	*
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.41	1.06	0.075745	NS
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-0	0.58	0.38	0.88	0.007446	*
DRB1	binned	1.09	0.55	2.1	0.77833	NS
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-0	2.26	1.57	3.25	2.9026e-06	*
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-0	0.73	0.49	1.09	0.10899	NS
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-0	1	0.54	1.8	0.98781	NS
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-0	1.62	1.1	2.37	0.0096493	*
DQB1	HLA-DQB1w16-0-0-0-0-0-0-0-0-0-0-0-0	0.56	0.2	1.38	0.1837	NS
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-0	0.63	0.39	1.01	0.046437	*
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-0	0.85	0.62	1.16	0.30223	NS
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-0	0.79	0.52	1.2	0.25211	NS
DQB1	HLA-DQB1w7-0-0-0-0-0-0-0-0-0-0-0-0	0.65	0.29	1.35	0.22115	NS
DQB1	binned	0.65	0.15	2.21	0.45693	NS
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-0	0.76	0.52	1.1	0.13022	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-0	1.22	0.88	1.72	0.2209	NS
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-0	1.1	0.56	2.11	0.76475	NS
