Locus	X.square	df	p.value	sig
91:180:187	55.0277	13	3.996e-07	*
94:119:121	39.9369	10	1.7384e-05	*
94:119:140	35.1996	14	0.0013733	*
94:119:180	39.711	11	4.0083e-05	*
94:121:140	51.4988	14	3.4177e-06	*
94:121:180	36.6789	12	0.00025182	*
94:121:187	53.8411	14	1.3675e-06	*
94:140:180	44.3095	14	5.2769e-05	*
94:140:187	55.5054	14	7.0878e-07	*
94:180:187	50.787	10	1.9118e-07	*
101:104:121	44.249	11	6.573e-06	*
101:104:140	33.0958	13	0.0016484	*
101:104:180	43.8339	9	1.5145e-06	*
101:104:187	25.9178	9	0.0021073	*
101:121:140	54.6426	17	7.8192e-06	*
101:121:180	46.1983	14	2.6021e-05	*
101:121:187	63.2476	14	3.1366e-08	*
101:140:180	54.9517	16	3.6216e-06	*
101:140:187	33.4129	17	0.0099876	*
101:180:187	55.2889	13	3.5954e-07	*
104:121:140	55.6244	17	5.4374e-06	*
104:121:180	43.413	15	0.00013581	*
104:121:187	63.117	15	7.2864e-08	*
104:140:180	59.5404	17	1.2512e-06	*
104:140:187	33.5857	17	0.0094921	*
104:180:187	58.1728	13	1.1121e-07	*
119:121:140	60.2529	16	4.7445e-07	*
119:121:180	40.9351	13	9.7622e-05	*
119:121:187	55.0159	14	8.6036e-07	*
119:140:180	54.1274	17	9.453e-06	*
119:140:187	29.0144	16	0.023839	*
119:180:187	49.156	13	4.1583e-06	*
121:140:180	53.1767	19	4.402e-05	*
121:140:187	56.2134	17	4.3682e-06	*
121:180:187	55.0985	15	1.7191e-06	*
140:180:187	56.9523	17	3.3157e-06	*
