Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-17-0-0-0-0	0.27	0.1	0.6	0.00056529	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-19-0-0-0-0	0.55	0.34	0.86	0.0069036	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0	2.15	1.48	3.12	1.891e-05	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-20-0-0-0-0	1.36	0.69	2.66	0.33091	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-25-0-0-0-0	1.15	0.54	2.38	0.69495	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0	0.71	0.41	1.22	0.19514	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0	1.32	0.82	2.11	0.2219	NS
B	binned	0.97	0.45	2.01	0.93058	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.49	1.35	0.41717	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-1-0-0	0.64	0.41	1	0.04291	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-13-0-0	1	0.26	3.34	0.99403	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-15-0-0	1.55	1.05	2.28	0.02062	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-16-0-0	0.95	0.37	2.27	0.89767	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-2-0-0	0.96	0.32	2.63	0.93923	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-20-0-0	1.16	0.49	2.67	0.69736	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-3-0-0	1.6	1.2	2.12	0.00082082	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-4-0-0	0.67	0.41	1.06	0.075745	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-6-0-0	0.89	0.47	1.64	0.69677	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-7-0-0	0.58	0.38	0.88	0.007446	*
DRB1	binned	1.18	0.56	2.39	0.63131	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-1-0-0	2.26	1.57	3.25	2.9026e-06	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-10-0-0	1.53	0.93	2.53	0.074221	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-11-0-0	1.6	0.91	2.83	0.079166	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-14-0-0	0.56	0.2	1.38	0.1837	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-2-0-0	0.63	0.39	1.01	0.046437	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-3-0-0	0.87	0.63	1.18	0.35459	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-4-0-0	0.79	0.52	1.2	0.25211	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-5-0-0	0.65	0.29	1.35	0.22115	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-6-0-0	0.73	0.49	1.09	0.10899	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-7-0-0	0.84	0.31	2.08	0.68761	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-8-0-0	1.14	0.5	2.5	0.73244	NS
DQB1	binned	0.55	0.13	1.79	0.287	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
